Student	Gender	Smoke	Marijuan	DrivDrnk	GPA	PartyNum	DaysBeer	StudyHrs
1	female	No	Yes	Yes	3.400	4	6	7
2	female	No	No	No	3.450	4	0	20
3	male	No	No	Yes	3.890	9	4	30
4	female	No	No	No	3.750	6	3	12
5	male	Yes	Yes	Yes	2.300	10	15	14
6	female	Yes	Yes	No	2.800	2	5	10
7	male	No	No	No	2.700	8	0	15
8	female	No	No	No	2.600	5	5	25
9	female	No	Yes	Yes	1.870	16	20	6
10	female	No	No	No	2.740	0	2	10
11	female	No	No	Yes	2.000	6	10	8
12	female	No	No	No	3.000	2	4	20
13	male	No	Yes	No	3.200	1	3	2
14	female	No	Yes	Yes	3.000	10	12	10
15	female	No	Yes	Yes	3.550	12	9	11
16	female	No	No	No	NA	4	0	16
17	female	No	No	No	NA	6	0	14
18	female	No	Yes	Yes	2.700	9	8	9
19	male	No	No	No	3.200	2	2	15
20	male	No	No	Yes	3.000	4	8	8
21	female	No	No	No	3.500	8	8	20
22	female	No	Yes	No	3.560	6	6	12
23	male	No	No	No	3.600	NA	8	20
24	female	No	No	No	3.000	7	6	15
25	female	No	Yes	Yes	NA	10	10	15
26	female	No	Yes	No	2.670	7	2	10
27	female	Yes	No	Yes	3.500	12	12	30
28	male	No	No	Yes	3.000	1	3	25
29	male	No	Yes	No	3.400	3	8	10
30	male	Yes	Yes	Yes	2.700	12	28	25
31	female	No	Yes	Yes	3.360	8	10	7
32	male	No	No	Yes	2.800	4	5	20
33	male	No	Yes	No	3.200	3	2	15
34	female	No	No	No	3.000	2	0	4
35	female	No	No	No	3.200	8	8	15
36	female	No	Yes	Yes	3.000	7	11	10
37	male	Yes	Yes	Yes	3.300	10	15	3
38	female	Yes	Yes	Yes	3.110	NA	10	10
39	female	No	No	No	3.500	3	0	55
40	female	No	No	No	3.300	2	4	30
41	female	Yes	Yes	Yes	3.200	5	10	15
42	female	No	No	No	3.400	9	0	15
43	male	No	No	No	3.810	5	4	50
