"","Gender","Smoke","Marijuan","DrivDrnk","GPA","PartyNum","DaysBeer","StudyHrs","GPA.cat"
"1","female","No","Yes","Yes",3.4,4,6,7,"moderate"
"2","female","No","No","No",3.45,4,0,20,"moderate"
"3","male","No","No","Yes",3.89,9,4,30,"high"
"4","female","No","No","No",3.75,6,3,12,"high"
"5","male","Yes","Yes","Yes",2.3,10,15,14,"Low"
"6","female","Yes","Yes","No",2.8,2,5,10,"Low"
"7","male","No","No","No",2.7,8,0,15,"Low"
"8","female","No","No","No",2.6,5,5,25,"Low"
"9","female","No","Yes","Yes",1.87,16,20,6,"Low"
"10","female","No","No","No",2.74,0,2,10,"Low"
"11","female","No","No","Yes",2,6,10,8,"Low"
"12","female","No","No","No",3,2,4,20,"moderate"
"13","male","No","Yes","No",3.2,1,3,2,"moderate"
"14","female","No","Yes","Yes",3,10,12,10,"moderate"
"15","female","No","Yes","Yes",3.55,12,9,11,"high"
"16","female","No","No","No",NA,4,0,16,NA
"17","female","No","No","No",NA,6,0,14,NA
"18","female","No","Yes","Yes",2.7,9,8,9,"Low"
"19","male","No","No","No",3.2,2,2,15,"moderate"
"20","male","No","No","Yes",3,4,8,8,"moderate"
"21","female","No","No","No",3.5,8,8,20,"high"
"22","female","No","Yes","No",3.56,6,6,12,"high"
"23","male","No","No","No",3.6,NA,8,20,"high"
"24","female","No","No","No",3,7,6,15,"moderate"
"25","female","No","Yes","Yes",NA,10,10,15,NA
"26","female","No","Yes","No",2.67,7,2,10,"Low"
"27","female","Yes","No","Yes",3.5,12,12,30,"high"
"28","male","No","No","Yes",3,1,3,25,"moderate"
"29","male","No","Yes","No",3.4,3,8,10,"moderate"
"30","male","Yes","Yes","Yes",2.7,12,28,25,"Low"
"31","female","No","Yes","Yes",3.36,8,10,7,"moderate"
"32","male","No","No","Yes",2.8,4,5,20,"Low"
"33","male","No","Yes","No",3.2,3,2,15,"moderate"
"34","female","No","No","No",3,2,0,4,"moderate"
"35","female","No","No","No",3.2,8,8,15,"moderate"
"36","female","No","Yes","Yes",3,7,11,10,"moderate"
"37","male","Yes","Yes","Yes",3.3,10,15,3,"moderate"
"38","female","Yes","Yes","Yes",3.11,NA,10,10,"moderate"
"39","female","No","No","No",3.5,3,0,55,"high"
"40","female","No","No","No",3.3,2,4,30,"moderate"
"41","female","Yes","Yes","Yes",3.2,5,10,15,"moderate"
"42","female","No","No","No",3.4,9,0,15,"moderate"
"43","male","No","No","No",3.81,5,4,50,"high"
"44","female","No","Yes","No",3.86,7,6,10,"high"
"45","male","Yes","No","Yes",2.97,3,5,14,"Low"
"46","female","No","Yes","No",3.6,3,8,6,"high"
"47","female","No","No","No",3.3,0,0,9,"moderate"
"48","female","Yes","Yes","Yes",3.5,13,13,12,"high"
"49","female","No","No","No",2.4,0,3,6,"Low"
"50","female","Yes","Yes","No",3.5,5,8,15,"high"
"51","female","No","No","No",2.8,2,0,20,"Low"
"52","male","No","No","No",3,10,10,6,"moderate"
"53","male","No","No","Yes",2.8,8,8,30,"Low"
"54","female","Yes","Yes","Yes",2,4,15,10,"Low"
"55","female","Yes","Yes","Yes",2.94,7,9,10,"Low"
"56","female","No","Yes","No",3.3,10,10,12,"moderate"
"57","female","No","No","No",3.34,12,12,20,"moderate"
"58","male","No","No","No",3.23,2,0,6,"moderate"
"59","male","No","No","Yes",3.48,15,24,23,"moderate"
"60","female","No","Yes","No",3,14,13,20,"moderate"
"61","female","Yes","Yes","Yes",2.33,10,20,5,"Low"
"62","female","No","Yes","Yes",3.2,5,4,7,"moderate"
"63","female","No","No","No",3,10,3,24,"moderate"
"64","female","No","Yes","No",3.88,13,12,18,"high"
"65","male","No","No","No",2.5,1,1,6,"Low"
"66","female","Yes","Yes","Yes",2.87,9,15,6,"Low"
